name,parent,path,openingDate,id,level,closedDate
Longisa Ward,"{'name': 'Bomet East Sub County', 'id': 'OZNRpww2TUK'}",/HfVjCurKxh2/HMNARUV2CW4/OZNRpww2TUK/drrGwAxlRtW,1970-01-01T00:00:00.000,drrGwAxlRtW,4,
Longonot Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/IskUqrbzqQU,1899-12-29T23:27:16.000,IskUqrbzqQU,5,
Longonot Dispensary,"{'name': 'Mai Mahiu Ward', 'id': 'l7oNy9qaqWe'}",/HfVjCurKxh2/ob6SxuRcqU4/yZJJPoSGhY6/l7oNy9qaqWe/o0Qm0Zj3Hgm,1970-01-01T00:00:00.000,o0Qm0Zj3Hgm,5,
Lontolio Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/WvvlYC7WEbZ,2015-07-13T00:00:00.000,WvvlYC7WEbZ,5,
Lontolio Dispensary,"{'name': 'Laisamis Ward', 'id': 'WWr7jojWGHJ'}",/HfVjCurKxh2/Eey8fT4Im3y/eZpy65ooW0m/WWr7jojWGHJ/Vd1VV5EzU6F,1970-01-01T00:00:00.000,Vd1VV5EzU6F,5,
Lonyuduk Dispensary,"{'name': 'Kalobeyei Ward', 'id': 'WwMThzLSS3I'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/WwMThzLSS3I/qk5n3xm9JzV,1970-01-01T00:00:00.000,qk5n3xm9JzV,5,
Loodoariak Dispensary,"{'name': 'Keekonyokie Ward', 'id': 'ZwZ7vxnP9WF'}",/HfVjCurKxh2/Hsk1YV8kHkT/wYsCfCAUWNB/ZwZ7vxnP9WF/zGQRH2PeC5v,1970-01-01T00:00:00.000,zGQRH2PeC5v,5,
Loonjorin Dispensary,"{'name': 'Nyiro Ward', 'id': 'UpMVKpuABHz'}",/HfVjCurKxh2/o36zCRjSd4G/E2DGjZRlwbY/UpMVKpuABHz/b3ZxAhtsLGf,1970-01-01T00:00:00.000,b3ZxAhtsLGf,5,
Loosuk Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/TCOQtKWFlaL,2016-05-01T00:00:00.000,TCOQtKWFlaL,5,
Loosuk Health Centre,"{'name': 'Loosuk Ward', 'id': 'cZkc98eBxNL'}",/HfVjCurKxh2/o36zCRjSd4G/EmQRGVtvWy3/cZkc98eBxNL/T31nW3EJMLj,1970-01-01T00:00:00.000,T31nW3EJMLj,5,
Loosuk Ward,"{'name': 'Samburu Central Sub County', 'id': 'EmQRGVtvWy3'}",/HfVjCurKxh2/o36zCRjSd4G/EmQRGVtvWy3/cZkc98eBxNL,1970-01-01T00:00:00.000,cZkc98eBxNL,4,
Lopedur Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/xSdMnmJK1Dj,2017-10-31T00:00:00.000,xSdMnmJK1Dj,5,
Lopedur Dispensary,"{'name': 'Katilia Ward', 'id': 'NhFq5rXnO3r'}",/HfVjCurKxh2/kphDeKClFch/dr8gOvVAdiE/NhFq5rXnO3r/NEb3Q2w3HRJ,1970-01-01T00:00:00.000,NEb3Q2w3HRJ,5,
Lopere-kook community unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/pCE01ZDRhdZ,2016-07-13T00:00:00.000,pCE01ZDRhdZ,5,
Loperot Dispensary,"{'name': 'Kalapata Ward', 'id': 'H6EZtZr2dWo'}",/HfVjCurKxh2/kphDeKClFch/iTw0sFjlqZ2/H6EZtZr2dWo/OFS9gXTMAvf,1970-01-01T00:00:00.000,OFS9gXTMAvf,5,
Lopiding Sub County Hospital,"{'name': 'Nanaam Ward', 'id': 'C93goWh2C1d'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/C93goWh2C1d/ocD1WxIvGHT,1970-01-01T00:00:00.000,ocD1WxIvGHT,5,
Lopii Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/JBpONunWApQ,2016-07-12T00:00:00.000,JBpONunWApQ,5,
Lopii Dispensary,"{'name': 'Lokori/Kochodin Ward', 'id': 'AY46zJ3BT9H'}",/HfVjCurKxh2/kphDeKClFch/dr8gOvVAdiE/AY46zJ3BT9H/CzOnkR4x6t4,1970-01-01T00:00:00.000,CzOnkR4x6t4,5,
Lopur (AIC) Dispensary (Turkana West),"{'name': 'Lopur Ward', 'id': 'Mdegig3qDW9'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/Mdegig3qDW9/qDGxffdJQuj,1970-01-01T00:00:00.000,qDGxffdJQuj,5,
Lopur Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/tAv51P9y50H,1970-01-01T00:00:00.000,tAv51P9y50H,5,
Lopur Community Unit (Turkana South),"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/javWEkMwa9U,1899-12-29T23:27:16.000,javWEkMwa9U,5,
