name,aggregationType,valueType,id,code
Adult ARVTBMEDS QE,SUM,INTEGER_ZERO_OR_POSITIVE,GT0OhfUz17N,
Adult ARVTBMEDS QROS,SUM,INTEGER_ZERO_OR_POSITIVE,RdzWFhIAtN7,
Adult ARVTBMEDS QRR,SUM,INTEGER_ZERO_OR_POSITIVE,s1v38drzvZe,
Adult ARVTBMEDS TQC,SUM,INTEGER_ZERO_OR_POSITIVE,mOnmLnQsTfQ,
Adult ARVTBMEDS TQRCW,SUM,INTEGER_ZERO_OR_POSITIVE,g4WrCx38y5B,
Adult TDF3TCDTG 30 BB,SUM,INTEGER_ZERO_OR_POSITIVE,GFNaxafX2yY,
Adult TDF3TCDTG 30 DOFS,SUM,INTEGER_ZERO_OR_POSITIVE,sMEBGqxmVP9,
Adult TDF3TCDTG 30 EMPSC,SUM,INTEGER_ZERO_OR_POSITIVE,MzvE0kWbjxy,
Adult TDF3TCDTG 30 LW,SUM,INTEGER_ZERO_OR_POSITIVE,zYg0HLe2LHH,
Adult TDF3TCDTG 30 NA,SUM,INTEGER_ZERO_OR_POSITIVE,sQlEv9LY3oS,
Adult TDF3TCDTG 30 PA,SUM,INTEGER_ZERO_OR_POSITIVE,V08lWiOtza6,
Adult TDF3TCDTG 30 QE,SUM,INTEGER_ZERO_OR_POSITIVE,UHnPv0c8QGi,
Adult TDF3TCDTG 30 QROS,SUM,INTEGER_ZERO_OR_POSITIVE,E8XBt5g2qxm,
Adult TDF3TCDTG 30 QRR,SUM,INTEGER_ZERO_OR_POSITIVE,Ji6l5FTG8mK,
Adult TDF3TCDTG 30 TQC,SUM,INTEGER_ZERO_OR_POSITIVE,i7RCAKiBOxo,
Adult TDF3TCDTG 30 TQRCW,SUM,INTEGER_ZERO_OR_POSITIVE,ZOoH3vTUrS0,
Adult TDF3TCDTG 90 BB,SUM,INTEGER_ZERO_OR_POSITIVE,QjR0wEKQx4V,
Adult TDF3TCDTG 90 DOFS,SUM,INTEGER_ZERO_OR_POSITIVE,XpGbzSvlZoi,
Adult TDF3TCDTG 90 EMPSC,SUM,INTEGER_ZERO_OR_POSITIVE,W6A5zwu5m10,
Adult TDF3TCDTG 90 LW,SUM,INTEGER_ZERO_OR_POSITIVE,GVALTBJwLhJ,
Adult TDF3TCDTG 90 NA,SUM,INTEGER_ZERO_OR_POSITIVE,YqFsJv6dF2a,
Adult TDF3TCDTG 90 PA,SUM,INTEGER_ZERO_OR_POSITIVE,zVI1UCn2gou,
Adult TDF3TCDTG 90 QE,SUM,INTEGER_ZERO_OR_POSITIVE,ivCou7OUNHF,
Adult TDF3TCDTG 90 QROS,SUM,INTEGER_ZERO_OR_POSITIVE,uYGjSXvvPhG,
Adult TDF3TCDTG 90 QRR,SUM,INTEGER_ZERO_OR_POSITIVE,X1tN5x4spGD,
Adult TDF3TCDTG 90 TQC,SUM,INTEGER_ZERO_OR_POSITIVE,Nk7QB1Wlngg,
Adult TDF3TCDTG 90 TQRCW,SUM,INTEGER_ZERO_OR_POSITIVE,leC642glZry,
Adult TDF3TCEFV 30 BB,SUM,INTEGER_ZERO_OR_POSITIVE,bdVebpzA7zf,
Adult TDF3TCEFV 30 DOFS,SUM,INTEGER_ZERO_OR_POSITIVE,ZGqlN4UE5Py,
Adult TDF3TCEFV 30 EMPSC,SUM,INTEGER_ZERO_OR_POSITIVE,v6b8AkE8T9J,
Adult TDF3TCEFV 30 LW,SUM,INTEGER_ZERO_OR_POSITIVE,BBWQMKwSyNK,
Adult TDF3TCEFV 30 NA,SUM,INTEGER_ZERO_OR_POSITIVE,mk5W4AXKbUB,
Adult TDF3TCEFV 30 PA,SUM,INTEGER_ZERO_OR_POSITIVE,iHbzyYorYPP,
Adult TDF3TCEFV 30 QE,SUM,INTEGER_ZERO_OR_POSITIVE,wxqD42Axfzg,
Adult TDF3TCEFV 30 QROS,SUM,INTEGER_ZERO_OR_POSITIVE,IOn8LQcqQdn,
Adult TDF3TCEFV 30 QRR,SUM,INTEGER_ZERO_OR_POSITIVE,tl7jbZ53XHF,
Adult TDF3TCEFV 30 TQC,SUM,INTEGER_ZERO_OR_POSITIVE,Xi0EpvdyBhC,
Adult TDF3TCEFV 30 TQRCW,SUM,INTEGER_ZERO_OR_POSITIVE,rTL4IrP2dOQ,
AHD CALHIV KEPI,SUM,INTEGER_ZERO_OR_POSITIVE,g0s65Dm47CA,
AHD CALHIV Not Imm,SUM,INTEGER_ZERO_OR_POSITIVE,oWSf2zNhstC,
AHD CALHIV Pneumo,SUM,INTEGER_ZERO_OR_POSITIVE,vFByuxLPFX7,
AHD CALHIV Rota,SUM,INTEGER_ZERO_OR_POSITIVE,iBsCVgCGyQ7,
AHD CD4 TB smearpos,SUM,INTEGER_ZERO_OR_POSITIVE,R5KyL0fYJle,
AHD Facility Comment1,SUM,LONG_TEXT,mSgfzBcv7Dh,
AHD Facility Comment2,SUM,LONG_TEXT,fawkdY5B5hR,
AHD Facility Comment3,SUM,LONG_TEXT,zTdd3EZHNLd,
AHD Facility User1,SUM,TEXT,g4UrRznnHgx,
AHD Facility User2,SUM,TEXT,nTLnDkbdi7D,
AHD Facility User3,SUM,TEXT,DzN3lLNRO1o,
AHD Gene,SUM,INTEGER_ZERO_OR_POSITIVE,BwXgDB2iMhT,
AHD Gene Pos,SUM,INTEGER_ZERO_OR_POSITIVE,aSrYbI8BEbk,
AHD IIT CD4,SUM,INTEGER_ZERO_OR_POSITIVE,KRvAhAQ5O46,
AHD IIT CD4 <200,SUM,INTEGER_ZERO_OR_POSITIVE,rrfFv94aqgy,
AHD IIT Crypto Pos,SUM,INTEGER_ZERO_OR_POSITIVE,DDpE2faeXCA,
AHD IIT Crypto Screen,SUM,INTEGER_ZERO_OR_POSITIVE,HpmgU1WNZPz,
AHD IIT Crypto Treatment,SUM,INTEGER_ZERO_OR_POSITIVE,ONAtT4uZ2Pu,
AHD IIT Preemptive,SUM,INTEGER_ZERO_OR_POSITIVE,nw8etj6wReI,
AHD IIT Presumed Investigated,SUM,INTEGER_ZERO_OR_POSITIVE,YQnwvuBzNm9,
AHD IIT Presumed TB,SUM,INTEGER_ZERO_OR_POSITIVE,gvWZn3TqiPy,
AHD IIT Presumed TB Pos,SUM,INTEGER_ZERO_OR_POSITIVE,vyNOp3JZIfC,
AHD IIT RTC,SUM,INTEGER_ZERO_OR_POSITIVE,c8BGJlGtRNX,
AHD IIT RTC Assessed,SUM,INTEGER_ZERO_OR_POSITIVE,tRVvt2Qr7dE,
AHD IIT Started TB Treatment,SUM,INTEGER_ZERO_OR_POSITIVE,FSKo4XKZjVS,
AHD IIT TB Screen,SUM,INTEGER_ZERO_OR_POSITIVE,f3Dy4pfQNcl,
AHD KS,SUM,INTEGER_ZERO_OR_POSITIVE,xKWZ3CQTFMD,
AHD KS Tx,SUM,INTEGER_ZERO_OR_POSITIVE,ONtB2dssnXt,
AHD Mortality,SUM,INTEGER_ZERO_OR_POSITIVE,IhhntrEeJ15,
AHD Mortality Audit,SUM,INTEGER_ZERO_OR_POSITIVE,vfcafPdYx3G,
AHD PCP,SUM,INTEGER_ZERO_OR_POSITIVE,ngoMS2GR5ur,
AHD PCP Tx,SUM,INTEGER_ZERO_OR_POSITIVE,jASuMeV8Lgu,
AHD TA Comment1,SUM,LONG_TEXT,oKcxvMpuc0O,
AHD TA Comment2,SUM,LONG_TEXT,QDh9g5DeBQM,
AHD TA Comment3,SUM,LONG_TEXT,ziOHg3ZMqSC,
AHD TA User1,SUM,TEXT,yQOXsswqMGn,
AHD TA User2,SUM,TEXT,Ws74tQxw3La,
AHD TA User3,SUM,TEXT,c8sfe0uMY0a,
AHD TB LAM,SUM,INTEGER_ZERO_OR_POSITIVE,ca3iAJfOF2E,
