id,type,name,displayName,shortName,code,description,search_text
faGLsfOrAYf,Data Element,Gitlab_Screened_Presbyopia,Gitlab_Screened_Presbyopia,Gitlab_presbyopia,,,gitlab_screened_presbyopia | gitlab_screened_presbyopia | gitlab_presbyopia |  | 
MogtroNvrIV,Data Element,Gitlab_Vision_Needs_Code1,Gitlab_Vision_Needs_Code1,Gitlab_Vision_Needs_Code1,,,gitlab_vision_needs_code1 | gitlab_vision_needs_code1 | gitlab_vision_needs_code1 |  | 
COEqoNhZSxD,Data Element,Gitlab_Vision_Needs_Code2,Gitlab_Vision_Needs_Code2,Gitlab_Vision_Needs_Code2,,,gitlab_vision_needs_code2 | gitlab_vision_needs_code2 | gitlab_vision_needs_code2 |  | 
w0D4O7FxQDg,Data Element,Gitlab_Vision_Needs_Code3,Gitlab_Vision_Needs_Code3,Gitlab_Vision_Needs_Code3,,,gitlab_vision_needs_code3 | gitlab_vision_needs_code3 | gitlab_vision_needs_code3 |  | 
s0zHJ4G19yb,Data Element,Gitlab_Vision_Needs_Code4,Gitlab_Vision_Needs_Code4,Gitlab_Vision_Needs_Code4,,,gitlab_vision_needs_code4 | gitlab_vision_needs_code4 | gitlab_vision_needs_code4 |  | 
KbQwaaWCcpz,Data Element,Gitlab_Vision_Needs_Code5,Gitlab_Vision_Needs_Code5,Gitlab_Vision_Needs_Code5,,,gitlab_vision_needs_code5 | gitlab_vision_needs_code5 | gitlab_vision_needs_code5 |  | 
mW4QpbuPNeI,Data Element,Gitlab_Vision_Needs_Code6,Gitlab_Vision_Needs_Code6,Gitlab_Vision_Needs_Code6,,,gitlab_vision_needs_code6 | gitlab_vision_needs_code6 | gitlab_vision_needs_code6 |  | 
M1W4dYiKmRb,Data Element,Gitlab_Vision_Needs_Code7,Gitlab_Vision_Needs_Code7,Gitlab_Vision_Needs_Code7,,,gitlab_vision_needs_code7 | gitlab_vision_needs_code7 | gitlab_vision_needs_code7 |  | 
i5SRTEQFiw7,Data Element,HCA AB collected 24m,HCA AB collected 24m,HCA AB collected 24m,,,hca ab collected 24m | hca ab collected 24m | hca ab collected 24m |  | 
qEWKzdWA5IY,Data Element,HCA missing 12 month visit,HCA missing 12 month visit,HCA missing 12 month visit,,,hca missing 12 month visit | hca missing 12 month visit | hca missing 12 month visit |  | 
GGwVdcrmZzR,Data Element,HCA Negative 12m,HCA Negative 12m,HCA Negative12m,,,hca negative 12m | hca negative 12m | hca negative12m |  | 
j8FRbPXjciP,Data Element,HCA Negative 24m,HCA Negative 24m,HCA Negative 24m,,,hca negative 24m | hca negative 24m | hca negative 24m |  | 
ZzDySepjGUZ,Data Element,HCA Net cohort 12m,HCA Net cohort 12m,HCA Net cohort 12m,,,hca net cohort 12m | hca net cohort 12m | hca net cohort 12m |  | 
VzU5M94mvN8,Data Element,HCA Net cohort 24m,HCA Net cohort 24m,HCA Net cohort 24m,,,hca net cohort 24m | hca net cohort 24m | hca net cohort 24m |  | 
PhHK5kWfcj3,Data Element,HCA Number Active 12m,HCA Number Active 12m,HCA Number Active 12m,,,hca number active 12m | hca number active 12m | hca number active 12m |  | 
KnQbrcZfFub,Data Element,HCA Number Active 24m,HCA Number Active 24m,HCA Number Active 24m,,,hca number active 24m | hca number active 24m | hca number active 24m |  | 
SCHJUUDupxG,Data Element,HCA Number Dead 12m,HCA Number Dead 12m,HCA Number Dead 12m,,,hca number dead 12m | hca number dead 12m | hca number dead 12m |  | 
P0ejgBheLHT,Data Element,HCA Number Dead 24m,HCA Number Dead 24m,HCA Number Dead 24m,,,hca number dead 24m | hca number dead 24m | hca number dead 24m |  | 
