hospital_id,hospital_name,level,path,observations,source_files
QITW06phVzk,Abakaile Dispensary,5,/HfVjCurKxh2/uyOrcHZBpW0/EW4Jw4dVWBt/Mn7xPHjxcxb/QITW06phVzk,0,
F38fuu7U8Vn,Abakore Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/F38fuu7U8Vn,0,
sEGi1wY7bRB,Abakore Sub District Hospital,5,/HfVjCurKxh2/CeLsrJOH0g9/U7KFQn3Up3o/HO38wbafDJg/sEGi1wY7bRB,0,
SmORD2BlOtY,Abandoned Child Care,5,/HfVjCurKxh2/jkG3zaihdSs/sqNWYDHZZ6W/jaQjWqSJPAd/SmORD2BlOtY,0,
k6qmjs4qIye,Abba Medical Clinic,5,/HfVjCurKxh2/ptWVfaCIdVx/dd7jowvUO95/mKOh6Ubsn0x/k6qmjs4qIye,0,
S6hMZ4s9RZu,Abby Medical Clinic,5,/HfVjCurKxh2/jkG3zaihdSs/f1T0Ltob8VQ/HWHpeXSxVCb/S6hMZ4s9RZu,0,
xqNZMaQpnNL,Abdigaaney Dispensary,5,/HfVjCurKxh2/CeLsrJOH0g9/fmNokBURXjM/dAuiI1KjvPd/xqNZMaQpnNL,0,
ERO4n2eFCyI,Abdisamad Community Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/ERO4n2eFCyI,0,
bfiWYfkcaxW,Abdisamad Dispensary,5,/HfVjCurKxh2/uyOrcHZBpW0/lQkHbTC1iRg/XSRJUTBck5b/bfiWYfkcaxW,0,
bbrpV8H1hNB,Abdiwaqo Community Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/bbrpV8H1hNB,0,
s5C6llkVQBR,Abdiwaqo Dispensary,5,/HfVjCurKxh2/CeLsrJOH0g9/x6Z1sBeiyqQ/FpUMvmJqkG2/s5C6llkVQBR,0,
XAMGJHHlBBF,Abel Migwi Johana Laboratory,5,/HfVjCurKxh2/Ulj33KBau7V/A34NiI4rgnf/LAhI3yCEdB1/XAMGJHHlBBF,0,
AxoRQlxUmOL,Aberdare Health Services,5,/HfVjCurKxh2/ahwTMNAJvrL/tyfDsdZ1h3R/PyVnQFcBqOT/AxoRQlxUmOL,0,
NQPKyCdIa8Z,Aberdare Medical Centre Ltd,5,/HfVjCurKxh2/ahwTMNAJvrL/tyfDsdZ1h3R/PyVnQFcBqOT/NQPKyCdIa8Z,0,
SlmxDUIybki,Abidha Health Centre,5,/HfVjCurKxh2/u4t9H8XyU9P/XcRpb1xsM64/cfUqqHJA6z4/SlmxDUIybki,0,
uZSv4cAhOch,Abigael Health Care Centre,5,/HfVjCurKxh2/pZqQRRW7PHP/dKHnvt7gleN/ydWuSvAtVs1/uZSv4cAhOch,0,
MH2x6HB5oxz,Abishag Medical Clinic,5,/HfVjCurKxh2/mYZacFNIB3h/fVSw60UAC3W/yOvD8h5gUOb/MH2x6HB5oxz,0,
t31hD2L7KAb,Able Medical Clinic,5,/HfVjCurKxh2/BjC1xL40gHo/sjlSPeRgl7d/msMd2VRjWK8/t31hD2L7KAb,0,
U7iDcDvVGzd,Aboge Health Centre,5,/HfVjCurKxh2/tAbBVBbueqD/YzEDO9Mq4TR/DP7qvMiw5Du/U7iDcDvVGzd,0,
atEAcFVSdqb,Abogeta Health Centre,5,/HfVjCurKxh2/Y52XNJ50hYb/AFIlzKNxXST/auJK9sKTX9b/atEAcFVSdqb,0,
tpmeDcmWQWf,Aboloi Dispensary,5,/HfVjCurKxh2/Tvf1zgVZ0K4/GpEIlwz3FvT/OSO67hxKiUf/tpmeDcmWQWf,0,
Ph4pEeJhc2B,Abom Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/Ph4pEeJhc2B,0,
DXhq1hKKOyt,Abra Health Services,5,/HfVjCurKxh2/jkG3zaihdSs/gD4xxgDGJ4Y/OaqOHmb6jNs/DXhq1hKKOyt,0,
AHVO3pGtUmT,Abrahams Clinic,5,/HfVjCurKxh2/Ulj33KBau7V/A34NiI4rgnf/BSHD4ORT4xu/AHVO3pGtUmT,0,
NS2k3fejJUx,Absalom Wangulu Dispensary,5,/HfVjCurKxh2/tAbBVBbueqD/iRK9uABUTVZ/s2NvoXiAGWj/NS2k3fejJUx,0,
HfJn5yioJhf,Abundant Life Clinic,5,/HfVjCurKxh2/tAbBVBbueqD/PRpKwAloU5b/It7fWcKbcZX/HfJn5yioJhf,0,
wpH7SJruihy,Abundant Medical Clinic,5,/HfVjCurKxh2/qKzosKQPl6G/lb5LzWiUX8Y/ERl76hzXrr7/wpH7SJruihy,0,
b8XTzumMN0f,Abuoro Dispensary,5,/HfVjCurKxh2/nK0A12Q7MvS/i2Y2fyNoFyZ/QlqqWw642lA/b8XTzumMN0f,0,
sTUhy2GeK9G,Acacia Medical Clinic,5,/HfVjCurKxh2/vvOK1BxTbet/Mk4bMOSMRTB/i4HY1pMsQ4q/sTUhy2GeK9G,0,
ytfBhk1M2Yk,Acacia Medical Clinic,5,/HfVjCurKxh2/ob6SxuRcqU4/hBU8B1KI12P/xK7G5Lg2CEW/ytfBhk1M2Yk,0,
ZvR2y31tYLn,Acacia Medicare Clinic,5,/HfVjCurKxh2/Hsk1YV8kHkT/BLz1HkvvMkA/nioMzFVoQ7l/ZvR2y31tYLn,0,
gqkS0qU9tfi,Acc&S Kariua Dispensary,5,/HfVjCurKxh2/ahwTMNAJvrL/gwYTo0wITYX/H3V7py1sKHI/gqkS0qU9tfi,0,
zM0XC6stWH9,Access Afya Baba dogo,5,/HfVjCurKxh2/jkG3zaihdSs/Cc8uEFkzfVf/OObzseEJrMs/zM0XC6stWH9,0,
fULRjpCPoum,Access Afya Kenya Medical Clinic,5,/HfVjCurKxh2/jkG3zaihdSs/nKHlZyN0lt9/LYgnp1wcewP/fULRjpCPoum,0,
Qc0PIJ61Hil,Access Afya Kiambiu,5,/HfVjCurKxh2/jkG3zaihdSs/qoLIT7y5f5c/zP3xgQdPmJX/Qc0PIJ61Hil,0,
acGLM7i6WYI,Access Afya Kwa Reuben Clinic,5,/HfVjCurKxh2/jkG3zaihdSs/aDp1odOWYC1/HvcGWkiIxjp/acGLM7i6WYI,0,
TO9gCp6gDUv,Access Afya Medical Centre,5,/HfVjCurKxh2/jkG3zaihdSs/wwROy3Qkwin/rSGZNHDJ4jJ/TO9gCp6gDUv,0,
GE9Ytu1oPn2,Accucare Clinic and Home Based Nursing,5,/HfVjCurKxh2/qKzosKQPl6G/lb5LzWiUX8Y/ERl76hzXrr7/GE9Ytu1oPn2,0,
LSx1rdvuiP2,Accucare Clinic and Home Based Nursing,5,/HfVjCurKxh2/qKzosKQPl6G/lb5LzWiUX8Y/ERl76hzXrr7/LSx1rdvuiP2,0,
HXts3S1sk3V,Ace Africa (k) Wellness Centre,5,/HfVjCurKxh2/KGHhQ5GLd4k/CUjthlounWV/AqsJZWunWRF/HXts3S1sk3V,0,
