UID,Name,Short Name,Level,Parent,Groups
fMexRJbQRAw,Consolata Mission Hospital (Nkubu),Consolata Hospital (Nkubu),5,Nkuene Ward,CHAP Stawisha
fS76SN2mDYs,Engineer District Hospital,Engineer District Hospita,5,Gathara Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
fUo2NrKCikw,Chwele Friends Dispensary,Chwele Friends Dispensary,5,Namwela Ward,Gates Foundation - RMNCH
fXf88nqZeKn,Magutuni District Hospital,Magutuni District Hospita,5,Mwimbi Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
fkW2AtRyW2I,Mikumbune Sub-District Hospital,Mikumbune Sub-District Ho,5,Nkuene Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
fmLvEUsG5e5,Soweto Kayole Phc Health Centre,Soweto  Kayole PHC Health,5,Lower Savannah Ward,Gitlab Project
g9QbZTBk5sC,Holy Cross Dispensary,Holy Cross  Dispensary,5,Ndeiya Ward,CHAP Stawisha
gCRidS1x9ty,North Kinangop Catholic Hospital,North Kinangop Catholic H,5,Gathara Ward,CHAP Stawisha
gEEJqBQ2vqX,Maseno Mission Hospital,Maseno Mission Hospital,5,North West Kisumu Ward,ACS Project; CHAK MHU; Gates Foundation - RMNCH
gMmgEY1hq3W,Faith Nursing Home (Ikutha),Faith Clinic (Ikutha),5,Ikutha Ward,CHAP Stawisha
gTC4YDSbhb6,Gatunga Model Health Centre,GATUNGA MODEL H/C,5,Gatunga Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
gftsQ7OuziL,Light House Medical Centre,Light House Medical Centre,5,Miritini Ward,Gates Foundation - RMNCH
ghAFXf6JkoY,Kieni Kia Ndege Dispensary,Kieni Kia Ndege Disp,5,Igoji East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
ghygCp0yjh3,PCEA Kasasule Dispensary,PCEA Kasasule Disp(Kibwez,5,Thange Ward,CHAP Stawisha
gldtQG24s2F,Chesta Dispensary,Chesta Dispensary,5,Lomut Ward,Bread for the World Project; Gates Foundation - RMNCH
gvyTCFjYnOU,Igoki Dispensary,Igoki Dispensary,5,Ntima East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
gwSSgY6zYfC,Liviero Dispensary,Liviero Dispensary,5,Mbeti South Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
h8gciTrB04j,Impact Health Care,Impact Health Care,5,Kiamaina Ward,Gates Foundation - RMNCH; Gitlab Project
h90pFNjfJ14,Consolata Hospital Gitoro,Consolata Hospital Gitoro,5,Municipality Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
hCCacTXjCYp,St Charles Lwanga Dispensary,St. Charles Lwanga C. HC,5,Limuru Central Ward,CHAP Stawisha
hIpsmAXAhVb,Kawiru Dispensary,Kawiru Dispensary,5,Athiru Ruujine Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
hLkFV8Z02ys,Syongila (ACK) Dispensary,Syongila (ACK) Dispensary,5,Township Ward,ACS Project; Bread for the World Project
hSKpgCPZYm2,D Comboni Mission,D Comboni Mission,5,Ndithini Ward,CHAP Stawisha
hZqDvGaLiEr,Turi (PCEA) Dispensary,Turi (PCEA) Dispensary,5,Turi Ward,ACS Project
