County,Owner type,Owner,Name,Service Type,Year,Sum of Value
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),MCH_CWC,2022,705
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),MCH_CWC,2023,356
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),MCH_CWC,2024,472
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),MCH_CWC,2025,576
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),MCH_CWC,2026,157
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),OPD,2022,591
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),OPD,2023,307
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),OPD,2024,460
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),OPD,2025,463
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Baraka Medical Clinic (Pokot South),OPD,2026,112
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,IPD,2022,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,IPD,2023,0
West Pokot,Private Practice,Private Practice - Medical Specialist,Trio Eye Laser Centre,IPD,2024,0
