orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,November 2025 OPD Attendance <5yrs Female,November 2025 OPD Attendance <5yrs Male,November 2025 OPD attendance >5yrs Female,November 2025 OPD attendance >5yrs Male
Kenya,Turkana County,Turkana East Sub County,Lokori/Kochodin Ward,Lotubae (AIC) Dispensary,mnKXMuGeWwE,Lotubae (AIC) Dispensary,20592,,180,152,430,235
Kenya,Turkana County,Aroo Sub County,Lobokat Ward,Loyapat Dispensary,EhuI79D8Ubl,Loyapat Dispensary,15098,,90,55,78,45
Kenya,Bungoma County,Webuye West Sub County,Misikhu Ward,Lugulu Friends Mission Hospital,GzJU2wkfa30,Lugulu Friends Mission Hospital,15965,,91,90,1142,605
Kenya,Kakamega County,Butere Sub County,Marama North Ward,Lukohe Health Centre,ZhDOwErGfV4,Lukohe Health Centre,17298,,61,67,236,153
Kenya,Bungoma County,Bumula Sub County,West Bukusu Ward,Machwele Dispensary,tNO45kPRfaQ,Machwele Dispensary,15984,,20,24,73,35
Kenya,Nyamira County,Nyamira North Sub County,Magwagwa Ward,Magwagwa (SDA) Dispensary,qQBZhGY6Zue,Magwagwa (SDA) Dispensary,13755,,16,12,22,14
Kenya,Makueni County,Kilome Sub County,Mukaa Ward,Maiani Salvation Army Dispensary,VGz3fGFdGJY,Maiani Salvation Army Dispensary,20997,,18,12,38,32
Kenya,Siaya County,Gem Sub County,North Gem Ward,Maliera SDA Dispensary,qqhDXan6YY4,Maliera SDA Dispensary,20013,,,,,
Kenya,Homa Bay County,Rachuonyo South Sub County,West Kasipul Ward,Mangima SDA Health Centre,oHDwiPFaNCX,Mangima SDA Health Centre,13768,,,,,
Kenya,Homa Bay County,Rangwe Sub County,Kagan Ward,Manyatta (SDA) Dispensary,Nkbsp23UkM3,Manyatta (SDA) Dispensary,13769,,2,3,23,20
Kenya,Narok County,Narok West Sub County,Mara Ward,Mararianta Health Centre,sbtG4aQyRyp,Mararianta Health Centre,15128,,12,10,100,57
Kenya,West Pokot County,Pokot Central Sub County,Sekerr Ward,Marich Dispensary,znkYUzIuep4,Marich Dispensary,15130,,3,6,11,9
Kenya,Kericho County,Kipkelion East Sub County,Kedowa/Kimugul Ward,Mary Finch Dispensary,QxPsGHs12s5,Mary Finch Dispensary,15146,,,,,
Kenya,Kakamega County,Butere Sub County,Marama South Ward,Masaba Dispensary,QR2K4k8VKF1,Masaba Dispensary,16715,,,,,
Kenya,Kisumu County,Kisumu West Sub County,North West Kisumu Ward,Maseno Mission Hospital,gEEJqBQ2vqX,Maseno Mission Hospital,13781,,47,19,195,72
Kenya,Siaya County,Bondo Sub County,North Sakwa Ward,Matangwe Community Health & Development Programme,Ox532fak7j5,Matangwe Community Health & Development Programme,13787,,13,9,95,43
Kenya,Migori County,Kuria East Sub County,Ntimaru West Ward,Matare SDA Dispensary,l8miWevqFuS,Matare SDA Dispensary,13788,,300,181,655,359
Kenya,Homa Bay County,Rachuonyo South Sub County,West Kamagak Ward,Matata Nursing Hospital,GSBiP2fM5zp,Matata Nursing Hospital,13789,,199,264,954,633
Kenya,Nyeri County,Tetu Sub County,Wamagana Ward,Mathakwaini (PCEA) Dispensary,tFbJmUSQC3w,Mathakwaini (PCEA) Dispensary,10705,,,,,
Kenya,Nyamira County,Nyamira North Sub County,Bokeira Ward,Matongo Health Centre,SWDBkgq9Eqe,Matongo Health Centre,13791,,11,9,45,43
Kenya,Nyamira County,Borabu Sub County,Nyansiongo Ward,Matutu Dispensary,c3Sw12ouZgJ,Matutu Dispensary,13794,,,,,
Kenya,Meru County,Igembe South Sub County,Maua Ward,Maua Methodist Hospital,pnELrefcHxQ,Maua Methodist Hospital,12492,,142,151,1992,1357
Kenya,Makueni County,Mbooni Sub County,Mbooni Ward,Mbooni (AIC) Dispensary,ZRzX46eulvM,Mbooni (AIC) Dispensary,12507,,70,50,74,51
Kenya,Narok County,Transmara West Sub County,Kilgoris Central Ward,Meguara Dispensary,wz0f8Mct2sz,Meguara Dispensary,16688,,46,68,143,57
Kenya,Uasin Gishu County,Turbo Sub County,Kamagut Ward,Mercy Health Centre,IZY2JLds4Mg,Mercy Health Centre,17466,,9,16,72,89
Kenya,Homa Bay County,Suba West Sub County,Mfangano Island Ward,Mfangano Central Adventies Mission,mRDMIlDrARd,Mfangano Central Adventies Mission,29344,,9,9,48,33
Kenya,Muranga County,Mathioya Sub County,Gitugi Ward,Mihuti Dispensary (Muranga North),ww6feYH41SM,Mihuti Dispensary (Muranga North),10728,,,,,
Kenya,Bungoma County,Kanduyi Sub County,Township Ward,Mission of Mercy Clinic,u4oYyK5yC2Y,Mission of Mercy Clinic,16020,,58,110,350,610
Kenya,Meru County,Imenti South Sub County,Mitunguu Ward,Mitunguu CCS Dispensary,olWgUsoEXF9,Mitunguu CCS Dispensary,12533,,10,7,100,102
Kenya,Kisii County,South Mugirango Sub County,Borabu/Chitago Ward,Monianku Health Centre,Vddks98p1ro,Monianku Health Centre,13821,,20,22,206,119
Kenya,Kirinyaga County,Kirinyaga Central Sub County,Kerugoya Ward,Mt Kenya (ACK) Hospital,EjGDFOdiRTy,Mt Kenya (ACK) Hospital,10738,,63,90,691,419
Kenya,Kiambu County,Juja Sub County,Murera Ward,Mugutha (SDA) Dispensary,IMkgH4PXMqA,Mugutha (SDA) Dispensary,26248,,14,13,35,16
Kenya,Kiambu County,Gatundu North Sub County,Mang'u Ward,Mukurwe (PCEA) Medical Clinic,j4DGPmDlXAp,Mukurwe (PCEA) Medical Clinic,10760,,,,,
Kenya,Kitui County,Kitui Central Sub County,Mulango Ward,Mulango (AIC) Health Centre,dLQjsqOgttT,Mulango (AIC) Health Centre,12566,,15,18,172,74
Kenya,Kakamega County,Khwisero Sub County,Kisa Central Ward,Mulwanda Health Centre,KWE4k0FdpyQ,Mulwanda Health Centre,16033,,34,25,81,62
