Facility Name,Category,Region,County,Beds,Status
Monianku Health Centre,Health Centre,South Rift Nyanza,Kisii,0,
Mombasa Mobile Clinic,Dispensary,Nairobi Central SE Coast,Mombasa,0,
Molo Full Gospel Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
MOHETO UNITED METHODIST MISSION HEALTH CENTRE,Health Centre,South Rift Nyanza,Migori,0,
Mission Of Mercy Medical Clinic,Hospital,Nairobi Central SE Coast,Narok,0,
Mission Of Mercy Hospital,Clinic / Medical Centre,Western North Rift,Bungoma,0,
Minugu Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Mihuti Dispensary (Muranga North),Dispensary,Nairobi Central SE Coast,Murang'a,0,
Methodist Treatment and Rehabilitation Centre,Dispensary,Eastern Northeastern,Meru,0,
MERCY MISSION HOSPITAL,Clinic / Medical Centre,Western North Rift,Baringo,0,
Mercy Health Centre,Health Centre,Western North Rift,Uasin Gishu,0,
Meguara Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
MCK St. Marks Kariene Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Mbwinjeru Methodist Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Mbooni AIC Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
Maua Methodist MTC,Clinic / Medical Centre,Eastern Northeastern,Meru,0,
Maua Methodist Hospital,Hospital,Eastern Northeastern,Meru,0,
Matutu Dispensary,Dispensary,South Rift Nyanza,Nyamira,0,
Matongo Health Centre,Health Centre,South Rift Nyanza,Nyamira,0,
Matata Mission Hospital,Hospital,South Rift Nyanza,Homa Bay,0,
Matare SDA Mission Dispensary,Dispensary,South Rift Nyanza,Migori,0,
MATANGWE COMMUNITY HEALTH & DEV PROGRAM,Clinic / Medical Centre,Western North Rift,Siaya,0,
Maseno Mission Hospital,Hospital,Western North Rift,Kisumu,0,
Marynoll Dispensary,Dispensary,Nairobi Central SE Coast,Tana River,0,
Mary Finch Dispensary,Dispensary,South Rift Nyanza,Kericho,0,
Marich RCEA Dispensary,Dispensary,Western North Rift,West Pokot,0,
Mararianta Health Centre,Health Centre,Nairobi Central SE Coast,Narok,0,
Manyatta SDA Dispensary,Dispensary,South Rift Nyanza,Homa Bay,0,
Manyatta (SDA) Dispensary,Dispensary,South Rift Nyanza,Homa Bay,0,
Mangima SDA Health Centre,Health Centre,South Rift Nyanza,Homa Bay,0,
Mama Rael Memorial Health Centre,Health Centre,Eastern Northeastern,Meru,0,
Maliera SDA Dispensary,Dispensary,Western North Rift,Siaya,0,
Malanga (AIC) Dispensary,Dispensary,Nairobi Central SE Coast,Kilifi,0,
Makandune Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Maji Moto Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Mahiga (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Nyeri,0,
