Facility_ID,Facility_Name
PcZ88G2SJnt,Al-Agsa Medical Clinic
kI0mu6ddxSm,Al-Amannah Hospital
rnXJsJBMBIv,Al-Amin Medical Clinic
RXx3FcgDwZ0,Al-Ansar Medical Clinic
n5d9Sao4gcf,Al-Aqsa Medical Clinic
mwzugjT5tfS,Al-Arbrar Medical Clinic
xrYkqC00U9t,Al-Bir Medical Centre
gZmQg2NHpee,Al-Bir Medical Centre (Kilindini)
nYs862A5uon,Al-Faruq Dispensary
f4kUKm6boGh,Al-Furaqan Clinic
gp8mHxRey0r,Al-Gadhir Clinic
KHiYEiiOULw,Al-Haqq Medical Clinic
gTcbEUxmHuM,Al-Hilal Clinic
dXmb6iHMzjV,Al-Iqlas Medical Centre
bX2Nmm72gbh,Al-Maqdis ENT Clinic
APMAjpTdU8I,Al-Mumtaz Medical Clinic
qPkSRhchkd8,Al-Nuur
Oc78C1smxm3,Al-Raheem Medical Centre
JCVPrI4t7i9,Al-Shifaat Nursing Home
jKZIre1ICst,Al-Siha Nursing Home
KpY9cUCEubs,Al-Zak Medical Clinic
LSQhluaYVvm,Al-anasar Medical Clinic
c9EKWD10wIW,Al-hafidh Medical Centre
DJfW5Abx3Pr,Al-hafidh Medical Centre
SkWeQkXKTzL,Alale (AIC) Health Centre
lhyRFPWc313,Alale Health Centre
Gog3n7bmfjm,Alaro Community Dispensary
g7B3HjeLvQL,Albertol Medicare
ZmF9YIfwAh2,Aldina Medical Center
Ul1WVVhfQ3k,Alen Medical Clinic
hZi49JAK9Ub,Alestacare Medical Centre
dmkxww72tUq,Alex's Medical Clinic
rHsmOUSMngm,Alexandra Cancer Centre and Palliative Hospital
UgsWPRHUXKJ,Alexandria Cancer Centre & Palliative Care Hospital
uIfdT4Xhr8U,Alexandria General Hospital
JZ3YSqeDgq5,Alfa Clinic
pY8Md4yCa6J,AlfaPlus Medical Center
RJ5tHCMdNDY,Alfalah Nursing Home
gE57bRtyOvh,Alfaroox Medical Center
EmjqaqUBrOl,Alfatah Medical Clinic
NDeevD19j4s,Alfrose Medical Clinic
jaCs4CR5ZDN,Algadir Medical Centre
OTn2K6CKPr7,Alhamdu Medical Clinic
nNgORKzwMR3,Alhidaya Medical Clinic
zCP4Az4ThSi,Ali Juja Hope Medical Centre
fJ4j8C8VcLS,Alice Nursing Home
evhFdNQo8bW,Alicent Medical Centre
rRP16WUg7ze,Alidumal dispensary
KDgQDk9crV4,Alika Medical Clinic
OlFg0Rueupw,Aliki Medical Centre Banana
edjfwbsoTLn,Alikune Dispensary
il9cndRb7vt,Alimaow Health Centre
MMUERdrmeNC,Alinjugur Health Centre
x5u2efTKZ83,Aljezeera Hospital
D0d22hbKuxu,All Day Medical Clinic
PMwjaBGIelR,All Saints Musaa
lBSKqMNnHEz,Alliance Clinic
fJoTJIANnAv,Alliance Medical Center
Y9TyW9SfaLS,Alliance Medical Centre (Mombasa)
UqDcXCg6FeW,Alliance Medical Clinic
t0W3iEKsl0C,Alliance community medical centre
xxmtlMVrq0O,Alluc Medical Centre
ThkruBQ6pew,Almacy Medical Clinic
cYMjQgLlKXt,Almed Health Products
CLBMFLAKvZz,Almond Community Hospital Ltd
xYXWzBntS2B,Alms House Dispensary
FkFXadTcl2A,Alnas Medical Clinic
AliHdSdiWqD,Alnas Nursing Home
u5u0Bhybf8f,Aloete Dispensary
ifCWTN9WMlL,Aloha Medical Clinic
n36lC5k9kc6,Alpesan Medical Clinic
cG3J1frB1lA,Alpha Bliss Health Clinic
Z4djSNlS0mA,Alpha Community Health Clinic (Migori)
clwsPPAMEz7,Alpha Health Care Medical Clinic
VuswnQWFdYZ,Alpha Links Medical Clinic
kc3xNNoOKfM,Alpha Medical
hNDKFPKWYOa,Alpha Medical Agency
jUn6k7NLfu1,Alpha Medical Centre Thigio
dhBHJi4K9KT,Alpha Medical Clinic
j2JtGSpQWuw,Alpha Medical Clinic
UWRuxmyHSCV,Alpha Medical Clinic (Butere)
BhFbEuA3lZ5,Alpha Medical Clinic (Koibatek)
w4pCUxEVOZo,Alpha hill medical centre
BId2x6K6BOz,Alphil Maternity And Nursing Home
okO6j4SE323,Alphil Medical Centre
K2dQyq9Y9XK,Alphil Medical Centre
meW9wZL2Vx9,Alphil Medical Centre Limited
wEptqs31IZ2,Alphima Medical Clinic
Rb98NhMR6cg,Alphine Health Care Medical Clinic
z8IPdXLqiOf,Alphond Medical Centre
Ll2vqOsYZ9a,Alpo Medical Centre
eA2RGei0XrF,Alriyadh Medical Clinic
k6Sa93mbjXT,Altamed Medical Clinic
xDnnC1al4u6,Alter Care Limited
p88Dp0k1GH3,Alum Beach Dispensary
p7wCM1JfI5d,Aluor Mission Health Centre
wmUX4Xf6mHU,Alupe Sub County Referral Hospital
cjPwf2Grgo9,Alwalidayn Dispensary
GnHBcfPYmFI,Ama (Africa Muslim Agency) Clinic
dbBcTxKqove,Ama Dispensary
cPDS7MOxcm9,Amaase Dispensary
f6tOBNIJ0HW,Amaiga Dispensary
bNho1ISzYjt,Amakuriat Dispensary
trFOpglxnpJ,Amal Medical Clinic
POY9zExhEAI,Amalya Medical Centre
xrTQLCUz6t5,Amane Cottage Hospital
DP90QLovlcA,Amani Clinic
YHcQHZrHqAN,Amani Clinic (Kamugunda)
Yb2YWa0VeG5,Amani Family Medical Clinic
mZcNPm0uOJG,Amani Medical Centre
IsYATTBPAtc,Amani Medical Centre (Suneka)
HFc5mUXGyjZ,Amani Medical Clinic
n8yZiEsLoYa,Amani Medical Clinic
L39KwA5PJNc,Amani Medical Clinic (Jomvu)
rakclxqJzvB,Amani Medical Clinic (Kibwezi)
